Program Year,State FSA Code,County FSA Code,FSA State Name,FSA County Name,Pasture Type,Grazing Period Start Date,Grazing Period End Date
2008,01,001,Alabama,Autauga,Forage Sorghum,2008-07-01,2008-11-01
2008,01,001,Alabama,Autauga,Improved Pasture,2008-03-15,2008-12-01
2008,01,001,Alabama,Autauga,Small Grains,2007-11-15,2008-05-01
2008,01,003,Alabama,Baldwin,Forage Sorghum,2008-07-01,2008-11-01
2008,01,003,Alabama,Baldwin,Improved Pasture,2008-03-15,2008-12-01
2008,01,003,Alabama,Baldwin,Small Grains,2007-11-15,2008-05-01
2008,01,005,Alabama,Barbour,Forage Sorghum,2008-07-01,2008-11-01
2008,01,005,Alabama,Barbour,Improved Pasture,2008-03-15,2008-12-01
2008,01,005,Alabama,Barbour,Small Grains,2007-11-15,2008-05-01
2008,01,007,Alabama,Bibb,Forage Sorghum,2008-07-01,2008-11-01
2008,01,007,Alabama,Bibb,Improved Pasture,2008-03-15,2008-12-01
2008,01,007,Alabama,Bibb,Small Grains,2007-11-15,2008-05-01
2008,01,009,Alabama,Blount,Forage Sorghum,2008-07-01,2008-10-15
2008,01,009,Alabama,Blount,Improved Pasture,2008-04-01,2008-12-01
2008,01,009,Alabama,Blount,Small Grains,2007-12-01,2008-05-01
2008,01,011,Alabama,Bullock,Forage Sorghum,2008-07-01,2008-11-01
2008,01,011,Alabama,Bullock,Improved Pasture,2008-03-15,2008-12-01
2008,01,011,Alabama,Bullock,Small Grains,2007-11-15,2008-05-01
2008,01,013,Alabama,Butler,Forage Sorghum,2008-07-01,2008-11-01
2008,01,013,Alabama,Butler,Improved Pasture,2008-03-15,2008-12-01
2008,01,013,Alabama,Butler,Small Grains,2007-11-15,2008-05-01
2008,01,015,Alabama,Calhoun,Forage Sorghum,2008-07-01,2008-10-15
2008,01,015,Alabama,Calhoun,Improved Pasture,2008-04-01,2008-12-01
2008,01,015,Alabama,Calhoun,Small Grains,2007-12-01,2008-05-01
2008,01,017,Alabama,Chambers,Forage Sorghum,2008-07-01,2008-11-01
2008,01,017,Alabama,Chambers,Improved Pasture,2008-03-15,2008-12-01
2008,01,017,Alabama,Chambers,Small Grains,2007-11-15,2008-05-01
2008,01,019,Alabama,Cherokee,Forage Sorghum,2008-07-01,2008-10-15
2008,01,019,Alabama,Cherokee,Improved Pasture,2008-04-01,2008-12-01
2008,01,019,Alabama,Cherokee,Small Grains,2007-12-01,2008-05-01
2008,01,021,Alabama,Chilton,Forage Sorghum,2008-07-01,2008-11-01
2008,01,021,Alabama,Chilton,Improved Pasture,2008-03-15,2008-12-01
2008,01,021,Alabama,Chilton,Small Grains,2007-11-15,2008-05-01
2008,01,023,Alabama,Choctaw,Forage Sorghum,2008-07-01,2008-11-01
2008,01,023,Alabama,Choctaw,Improved Pasture,2008-03-15,2008-12-01
2008,01,023,Alabama,Choctaw,Small Grains,2007-11-15,2008-05-01
2008,01,025,Alabama,Clarke,Forage Sorghum,2008-07-01,2008-11-01
2008,01,025,Alabama,Clarke,Improved Pasture,2008-03-15,2008-12-01
2008,01,025,Alabama,Clarke,Small Grains,2007-11-15,2008-05-01
2008,01,027,Alabama,Clay,Forage Sorghum,2008-07-01,2008-10-15
2008,01,027,Alabama,Clay,Improved Pasture,2008-04-01,2008-12-01
2008,01,027,Alabama,Clay,Small Grains,2007-12-01,2008-05-01
2008,01,029,Alabama,Cleburne,Forage Sorghum,2008-07-01,2008-10-15
2008,01,029,Alabama,Cleburne,Improved Pasture,2008-04-01,2008-12-01
2008,01,029,Alabama,Cleburne,Small Grains,2007-12-01,2008-05-01
2008,01,031,Alabama,Coffee,Forage Sorghum,2008-07-01,2008-11-01
2008,01,031,Alabama,Coffee,Improved Pasture,2008-03-15,2008-12-01
2008,01,031,Alabama,Coffee,Small Grains,2007-11-15,2008-05-01
2008,01,033,Alabama,Colbert,Forage Sorghum,2008-07-01,2008-10-15
2008,01,033,Alabama,Colbert,Improved Pasture,2008-04-01,2008-12-01
2008,01,033,Alabama,Colbert,Small Grains,2007-12-01,2008-05-01
2008,01,035,Alabama,Conecuh,Forage Sorghum,2008-07-01,2008-11-01
2008,01,035,Alabama,Conecuh,Improved Pasture,2008-03-15,2008-12-01
2008,01,035,Alabama,Conecuh,Small Grains,2007-11-15,2008-05-01
2008,01,037,Alabama,Coosa,Forage Sorghum,2008-07-01,2008-11-01
2008,01,037,Alabama,Coosa,Improved Pasture,2008-03-15,2008-12-01
2008,01,037,Alabama,Coosa,Small Grains,2007-11-15,2008-05-01
2008,01,039,Alabama,Covington,Forage Sorghum,2008-07-01,2008-11-01
2008,01,039,Alabama,Covington,Improved Pasture,2008-03-15,2008-12-01
2008,01,039,Alabama,Covington,Small Grains,2007-11-15,2008-05-01
2008,01,041,Alabama,Crenshaw,Forage Sorghum,2008-07-01,2008-11-01
2008,01,041,Alabama,Crenshaw,Improved Pasture,2008-03-15,2008-12-01
2008,01,041,Alabama,Crenshaw,Small Grains,2007-11-15,2008-05-01
2008,01,043,Alabama,Cullman,Forage Sorghum,2008-07-01,2008-10-15
2008,01,043,Alabama,Cullman,Improved Pasture,2008-04-01,2008-12-01
2008,01,043,Alabama,Cullman,Small Grains,2007-12-01,2008-05-01
2008,01,045,Alabama,Dale,Forage Sorghum,2008-07-01,2008-11-01
2008,01,045,Alabama,Dale,Improved Pasture,2008-03-15,2008-12-01
2008,01,045,Alabama,Dale,Small Grains,2007-11-15,2008-05-01
2008,01,047,Alabama,Dallas,Forage Sorghum,2008-07-01,2008-11-01
2008,01,047,Alabama,Dallas,Improved Pasture,2008-03-15,2008-12-01
2008,01,047,Alabama,Dallas,Small Grains,2007-11-15,2008-05-01
2008,01,049,Alabama,DeKalb,Forage Sorghum,2008-07-01,2008-10-15
2008,01,049,Alabama,DeKalb,Improved Pasture,2008-04-01,2008-12-01
2008,01,049,Alabama,DeKalb,Small Grains,2007-12-01,2008-05-01
2008,01,051,Alabama,Elmore,Forage Sorghum,2008-07-01,2008-11-01
2008,01,051,Alabama,Elmore,Improved Pasture,2008-03-15,2008-12-01
2008,01,051,Alabama,Elmore,Small Grains,2007-11-15,2008-05-01
2008,01,053,Alabama,Escambia,Forage Sorghum,2008-07-01,2008-11-01
2008,01,053,Alabama,Escambia,Improved Pasture,2008-03-15,2008-12-01
2008,01,053,Alabama,Escambia,Small Grains,2007-11-15,2008-05-01
2008,01,055,Alabama,Etowah,Forage Sorghum,2008-07-01,2008-10-15
2008,01,055,Alabama,Etowah,Improved Pasture,2008-04-01,2008-12-01
2008,01,055,Alabama,Etowah,Small Grains,2007-12-01,2008-05-01
2008,01,057,Alabama,Fayette,Forage Sorghum,2008-07-01,2008-10-15
2008,01,057,Alabama,Fayette,Improved Pasture,2008-04-01,2008-12-01
2008,01,057,Alabama,Fayette,Small Grains,2007-12-01,2008-05-01
2008,01,059,Alabama,Franklin,Forage Sorghum,2008-07-01,2008-10-15
2008,01,059,Alabama,Franklin,Improved Pasture,2008-04-01,2008-12-01
2008,01,059,Alabama,Franklin,Small Grains,2007-12-01,2008-05-01
2008,01,061,Alabama,Geneva,Forage Sorghum,2008-07-01,2008-11-01
2008,01,061,Alabama,Geneva,Improved Pasture,2008-03-15,2008-12-01
2008,01,061,Alabama,Geneva,Small Grains,2007-11-15,2008-05-01
2008,01,063,Alabama,Greene,Forage Sorghum,2008-07-01,2008-11-01
2008,01,063,Alabama,Greene,Improved Pasture,2008-03-15,2008-12-01
2008,01,063,Alabama,Greene,Small Grains,2007-11-15,2008-05-01
2008,01,065,Alabama,Hale,Forage Sorghum,2008-07-01,2008-11-01
2008,01,065,Alabama,Hale,Improved Pasture,2008-03-15,2008-12-01
2008,01,065,Alabama,Hale,Small Grains,2007-11-15,2008-05-01
2008,01,067,Alabama,Henry,Forage Sorghum,2008-07-01,2008-11-01
2008,01,067,Alabama,Henry,Improved Pasture,2008-03-15,2008-12-01
2008,01,067,Alabama,Henry,Small Grains,2007-11-15,2008-05-01
2008,01,069,Alabama,Houston,Forage Sorghum,2008-07-01,2008-11-01
2008,01,069,Alabama,Houston,Improved Pasture,2008-03-15,2008-12-01
2008,01,069,Alabama,Houston,Small Grains,2007-11-15,2008-05-01
2008,01,071,Alabama,Jackson,Forage Sorghum,2008-07-01,2008-10-15
2008,01,071,Alabama,Jackson,Improved Pasture,2008-04-01,2008-12-01
2008,01,071,Alabama,Jackson,Small Grains,2007-12-01,2008-05-01
2008,01,073,Alabama,Jefferson,Forage Sorghum,2008-07-01,2008-10-15
2008,01,073,Alabama,Jefferson,Improved Pasture,2008-04-01,2008-12-01
2008,01,073,Alabama,Jefferson,Small Grains,2007-12-01,2008-05-01
2008,01,075,Alabama,Lamar,Forage Sorghum,2008-07-01,2008-10-15
2008,01,075,Alabama,Lamar,Improved Pasture,2008-04-01,2008-12-01
2008,01,075,Alabama,Lamar,Small Grains,2007-12-01,2008-05-01
2008,01,077,Alabama,Lauderdale,Forage Sorghum,2008-07-01,2008-10-15
2008,01,077,Alabama,Lauderdale,Improved Pasture,2008-04-01,2008-12-01
2008,01,077,Alabama,Lauderdale,Small Grains,2007-12-01,2008-05-01
2008,01,079,Alabama,Lawrence,Forage Sorghum,2008-07-01,2008-10-15
2008,01,079,Alabama,Lawrence,Improved Pasture,2008-04-01,2008-12-01
2008,01,079,Alabama,Lawrence,Small Grains,2007-12-01,2008-05-01
2008,01,081,Alabama,Lee,Forage Sorghum,2008-07-01,2008-11-01
2008,01,081,Alabama,Lee,Improved Pasture,2008-03-15,2008-12-01
2008,01,081,Alabama,Lee,Small Grains,2007-11-15,2008-05-01
2008,01,083,Alabama,Limestone,Forage Sorghum,2008-07-01,2008-10-15
2008,01,083,Alabama,Limestone,Improved Pasture,2008-04-01,2008-12-01
2008,01,083,Alabama,Limestone,Small Grains,2007-12-01,2008-05-01
2008,01,085,Alabama,Lowndes,Forage Sorghum,2008-07-01,2008-11-01
2008,01,085,Alabama,Lowndes,Improved Pasture,2008-03-15,2008-12-01
2008,01,085,Alabama,Lowndes,Small Grains,2007-11-15,2008-05-01
2008,01,087,Alabama,Macon,Forage Sorghum,2008-07-01,2008-11-01
2008,01,087,Alabama,Macon,Improved Pasture,2008-03-15,2008-12-01
2008,01,087,Alabama,Macon,Small Grains,2007-11-15,2008-05-01
2008,01,089,Alabama,Madison,Forage Sorghum,2008-07-01,2008-10-15
2008,01,089,Alabama,Madison,Improved Pasture,2008-04-01,2008-12-01
2008,01,089,Alabama,Madison,Small Grains,2007-12-01,2008-05-01
2008,01,091,Alabama,Marengo,Forage Sorghum,2008-07-01,2008-11-01
2008,01,091,Alabama,Marengo,Improved Pasture,2008-03-15,2008-12-01
2008,01,091,Alabama,Marengo,Small Grains,2007-11-15,2008-05-01
2008,01,093,Alabama,Marion,Forage Sorghum,2008-07-01,2008-10-15
2008,01,093,Alabama,Marion,Improved Pasture,2008-04-01,2008-12-01
2008,01,093,Alabama,Marion,Small Grains,2007-12-01,2008-05-01
2008,01,095,Alabama,Marshall,Forage Sorghum,2008-07-01,2008-10-15
2008,01,095,Alabama,Marshall,Improved Pasture,2008-04-01,2008-12-01
2008,01,095,Alabama,Marshall,Small Grains,2007-12-01,2008-05-01
2008,01,097,Alabama,Mobile,Forage Sorghum,2008-07-01,2008-11-01
2008,01,097,Alabama,Mobile,Improved Pasture,2008-03-15,2008-12-01
2008,01,097,Alabama,Mobile,Small Grains,2007-11-15,2008-05-01
2008,01,099,Alabama,Monroe,Forage Sorghum,2008-07-01,2008-11-01
2008,01,099,Alabama,Monroe,Improved Pasture,2008-03-15,2008-12-01
2008,01,099,Alabama,Monroe,Small Grains,2007-11-15,2008-05-01
2008,01,101,Alabama,Montgomery,Forage Sorghum,2008-07-01,2008-11-01
2008,01,101,Alabama,Montgomery,Improved Pasture,2008-03-15,2008-12-01
2008,01,101,Alabama,Montgomery,Small Grains,2007-11-15,2008-05-01
2008,01,103,Alabama,Morgan,Forage Sorghum,2008-07-01,2008-10-15
2008,01,103,Alabama,Morgan,Improved Pasture,2008-04-01,2008-12-01
2008,01,103,Alabama,Morgan,Small Grains,2007-12-01,2008-05-01
2008,01,105,Alabama,Perry,Forage Sorghum,2008-07-01,2008-11-01
2008,01,105,Alabama,Perry,Improved Pasture,2008-03-15,2008-12-01
2008,01,105,Alabama,Perry,Small Grains,2007-11-15,2008-05-01
2008,01,107,Alabama,Pickens,Forage Sorghum,2008-07-01,2008-10-15
2008,01,107,Alabama,Pickens,Improved Pasture,2008-04-01,2008-12-01
2008,01,107,Alabama,Pickens,Small Grains,2007-12-01,2008-05-01
2008,01,109,Alabama,Pike,Forage Sorghum,2008-07-01,2008-11-01
2008,01,109,Alabama,Pike,Improved Pasture,2008-03-15,2008-12-01
2008,01,109,Alabama,Pike,Small Grains,2007-11-15,2008-05-01
2008,01,111,Alabama,Randolph,Forage Sorghum,2008-07-01,2008-10-15
2008,01,111,Alabama,Randolph,Improved Pasture,2008-04-01,2008-12-01
2008,01,111,Alabama,Randolph,Small Grains,2007-12-01,2008-05-01
2008,01,113,Alabama,Russell,Forage Sorghum,2008-07-01,2008-11-01
2008,01,113,Alabama,Russell,Improved Pasture,2008-03-15,2008-12-01
2008,01,113,Alabama,Russell,Small Grains,2007-11-15,2008-05-01
2008,01,115,Alabama,St. Clair,Forage Sorghum,2008-07-01,2008-10-15
2008,01,115,Alabama,St. Clair,Improved Pasture,2008-04-01,2008-12-01
2008,01,115,Alabama,St. Clair,Small Grains,2007-12-01,2008-05-01
2008,01,117,Alabama,Shelby,Forage Sorghum,2008-07-01,2008-10-15
2008,01,117,Alabama,Shelby,Improved Pasture,2008-04-01,2008-12-01
2008,01,117,Alabama,Shelby,Small Grains,2007-12-01,2008-05-01
2008,01,119,Alabama,Sumter,Forage Sorghum,2008-07-01,2008-11-01
2008,01,119,Alabama,Sumter,Improved Pasture,2008-03-15,2008-12-01
2008,01,119,Alabama,Sumter,Small Grains,2007-11-15,2008-05-01
2008,01,121,Alabama,Talladega,Forage Sorghum,2008-07-01,2008-10-15
2008,01,121,Alabama,Talladega,Improved Pasture,2008-04-01,2008-12-01
2008,01,121,Alabama,Talladega,Small Grains,2007-12-01,2008-05-01
2008,01,123,Alabama,Tallapoosa,Forage Sorghum,2008-07-01,2008-11-01
2008,01,123,Alabama,Tallapoosa,Improved Pasture,2008-03-15,2008-12-01
2008,01,123,Alabama,Tallapoosa,Small Grains,2007-11-15,2008-05-01
2008,01,125,Alabama,Tuscaloosa,Forage Sorghum,2008-07-01,2008-10-15
2008,01,125,Alabama,Tuscaloosa,Improved Pasture,2008-04-01,2008-12-01
2008,01,125,Alabama,Tuscaloosa,Small Grains,2007-12-01,2008-05-01
2008,01,127,Alabama,Walker,Forage Sorghum,2008-07-01,2008-10-15
2008,01,127,Alabama,Walker,Improved Pasture,2008-04-01,2008-12-01
